ID,enforcement_cond,speed_cond,risk_pullover,ambiguity,intent_speed,unsafety,tcost,ftpain,validDL,speedfreq,avgspeed,hwydrive,psttickets,policed,texting,aggressive,accidents,impulsive,male,age,white,employed,state,id
836,Reduced Enforcement,76,0,1,80,1,600,5,yes,1, ,weekly,1,no,3,less aggressive,1,3.5,female,27,1,employed,MINNESOTA,14
191,Reduced Enforcement,76,30,3,0,5,50,2,yes,2,8,rarely,2,no,1,less aggressive,6,1.75,male,31,1,employed,New Jersey,15
249,Increased Enforcement,76,100,2,50,1,50,2,yes,2,60,weekly,3,yes,4,more aggressive,4,4.5,male,30,0,employed,new york,16
318,Increased Enforcement,76,8,1,85,1,75,2,yes,4,80,weekly,1,no,1,about same,5,3.5,male,50,1,unemployed,Florida,17
307,Increased Enforcement,76,3,3,95,1,150,2,yes,4,75,monthly,3,no,1,about same,5,2,female,46,1,unemployed,South Carolina,18
932,Increased Enforcement,76,0,1,95,1,180,1,yes,4,75,weekly,3,no,1,about same,5,2.5,male,78,1,unemployed,NJ,19
161,Reduced Enforcement,76,5,1,8,2,0,1,yes,2,75,monthly,1,no,2,about same,4,1,female,32,1,unemployed,tx,20
1008,Reduced Enforcement,76,89,2,90,2,340,3,yes,4,48,weekly,3,yes,4,more aggressive,4,4.5,male,30,0,employed,california,21
1024,Increased Enforcement,76,20,3,0,4,150,4,yes,1,72,rarely,1,no,1,less aggressive,6,2,female,65,0,unemployed,FL,22
851,Increased Enforcement,76,0,1,80,1,500,4,yes,2,80,weekly,1,no,2,about same,4,1.25,male,31,1,employed,Nevada,23
337,Reduced Enforcement,76,10,3,85,2,75,2,yes,4,77,weekly,1,no,2,about same,5,1.75,female,44,1,employed,Florida,24
461,Increased Enforcement,76,65,2,65,2,45,3,yes,3,65,weekly,4,yes,3,about same,1,2.5,male,38,0,employed,washington,25
340,Increased Enforcement,76,80,1,75,2,3,2,yes,4,76,monthly,3,yes,4,about same,6,4,male,30,0,employed,30,26
1020,Reduced Enforcement,76,20,4,75,2,100,2,yes,2,74,weekly,1,no,1,less aggressive,6,2.5,male,63,1,employed,NC,27
930,Increased Enforcement,76,76,1,76,3,6,3,yes,2,50,monthly,2,no,4,about same,1,2.5,male,,1,employed, ,28
957,Reduced Enforcement,76,40,3,70,2,30,2,yes,2,75,weekly,1,no,1,less aggressive,1,2,female,23,0,employed,North Carolina,29
144,Increased Enforcement,76,0,1,100,2,50,3,yes,5,80,daily,1,no,2,about same,5,3,male,36,0,employed,Florida,30
100,Reduced Enforcement,76,70,2,70,3,100,4,yes,1,70,rarely,2,yes,4,about same,5,2.5,male,25,1,employed,sc,31
880,Increased Enforcement,76,1,2,90,2,100,3,yes,2,80,daily,1,no,1,about same,5,1.75,male,43,1,employed,Wyoming,32
26,Reduced Enforcement,76,70,2,60,2,350,4,yes,2,80,monthly,2,no,4,about same,5,3.25,male,37,0,employed,PA,33
1205,Reduced Enforcement,76,20,3,50,3,136,3,yes,3,75,rarely,2,no,2,about same,1,2.5,female,32,1,employed,Washington,34
896,Increased Enforcement,76,55,3,45,1,20,4,yes,1,50,weekly,3,yes,1,about same,4,4.75,female,37,0,employed,indiana,35
849,Increased Enforcement,76,2,2,90,2,90,1,yes,4,77,rarely,1,no,1,about same,4,1,male,37,1,employed,Texas,36
902,Reduced Enforcement,76,5,2,50,2,50,4,yes,2,75,weekly,1,no,1,less aggressive,5,2.5,male,56,0,employed,Iowa,37
879,Reduced Enforcement,76,10,2,80,2,36,3,yes,2,90,monthly,3,no,1,about same,4,3.5,male,46,0,employed,massachusetts,38
525,Increased Enforcement,76,10,2,30,2,50,4,yes,2,80,monthly,1,yes,2,less aggressive,1,1,female,24,0,employed,South Dakota,39
401,Increased Enforcement,76,5,2,90,2,100,1,yes,2,75,monthly,1,no,2,less aggressive,5,5,female,47,0,employed,Kentucky,40
119,Reduced Enforcement,76,25,4,80,2,85,3,yes,4,75,monthly,1,no,1,about same,6,1,female,36,1,employed,Oregon,41
772,Reduced Enforcement,76,3,6,40,4,55,1,yes,4,74,weekly,2,no,2,less aggressive,4,2,female,29,1,unemployed,IN,42
536,Reduced Enforcement,76,0,2,80,2,50,3,yes,1,60,monthly,1,no,1,less aggressive,4,2.5,female,41,0,employed,Connecticut,43
380,Reduced Enforcement,76,75,2,80,2,204,3,yes,2,50,weekly,3,yes,4,about same,5,3.75,male,48,1,employed,Texas,44
381,Reduced Enforcement,76,5,2,90,2,150,3,yes,1,80,daily,1,yes,2,less aggressive,1,3.5,male,36,1,employed,CA,45
861,Reduced Enforcement,76,76,1,76,4,250,4,yes,1,70,daily,2,yes,3,less aggressive,1,3.5,female,35,1,employed,maryland,46
195,Increased Enforcement,76,70,1,90,1,35,3,yes,5,85,rarely,3,no,2,more aggressive,5,3.5,male,47,1,employed,West Virginia,47
1171,Reduced Enforcement,76,49,4,49,2,189,4,yes,2,65,weekly,1,no,2,less aggressive,6,4,female,38,1,employed,west virginia,48
1096,Reduced Enforcement,76,99,1,98,1,100,2,yes,1,50,daily,2,yes,5,more aggressive,1,1.25,female,30,0,employed,CA,49
266,Increased Enforcement,76,50,3,50,4,150,3,yes,2,75,weekly,1,no,1,about same,4,2.5,female,44,1,employed,texas,50
327,Increased Enforcement,76,80,2,70,4,20,2,yes,2,95,monthly,3,no,3,about same,4,3.25,male,29,1,employed,Nevada,51
1112,Reduced Enforcement,76,50,3,50,2,80,2,yes,3,75,weekly,1,no,1,about same,6,2.25,male,55,1,employed,Texas,52
953,Increased Enforcement,76,50,3,50,3,100,3,yes,3,60,rarely,1,no,1,about same,5,3,female,26,1,employed,Washington,53
1063,Increased Enforcement,76,55,2,77,2,120,2,yes,2,80,rarely,1,no,1,about same,5,2,female,42,1,employed,GA,54
248,Increased Enforcement,76,20,4,80,2,120,3,yes,2,75,weekly,1,no,1,less aggressive,1,2.75,female,32,1,employed,Minnesota,55
745,Reduced Enforcement,76,76,2,76,2,1,3,yes,2,60,monthly,2,yes,4,about same,6,3.5,female,27,0,employed,california,56
509,Increased Enforcement,76,85,3,80,3,100,2,yes,2,65,monthly,2,yes,3,about same,5,1.75,male,42,0,employed,SC,57
699,Increased Enforcement,76,35,3,10,4,200,4,yes,1,65,weekly,1,yes,2,about same,1,3,male,20,0,unemployed,NY,58
64,Increased Enforcement,76,5,2,50,4,100,1,yes,4,78,monthly,1,no,2,less aggressive,5,2,male,55,1,employed,Colorado,59
197,Increased Enforcement,76,55,4,40,3,100,2,yes,2,65,rarely,1,no,1,about same,1,2.5,female,25,0,employed,Florida,60
1146,Increased Enforcement,76,20,2,20,2,233,5,yes,2,72,rarely,1,no,1,less aggressive,1,3,female,22,1,employed,California,61
416,Reduced Enforcement,76,50,2,10,4,100,3,yes,2,75,monthly,1,no,1,about same,4,2.25,female,30,1,employed,CT,62
418,Increased Enforcement,76,90,1,80,2,100,4,yes,2,70,monthly,4,no,1,about same,5,4.75,male,47,1,employed,Colorado,63
139,Reduced Enforcement,76,5,2,90,2,75,2,yes,2,70,monthly,1,no,1,less aggressive,5,2,female,64,1,employed,Michigan,64
694,Increased Enforcement,76,50,3,50,3,50,3,yes,1, ,daily,1,no,1,less aggressive,4,1,female,40,1,employed,MD,65
404,Increased Enforcement,76,40,5,50,3,250,4,yes,3,75,rarely,1,no,1,less aggressive,5,1.75,female,38,1,unemployed,Wisconsin,66
45,Reduced Enforcement,76,50,3,90,3,1000,2,yes,2,75,weekly,3,yes,3,less aggressive,5,3,male,39,1,employed,AK,67
301,Reduced Enforcement,76,25,4,25,2,100,2,yes,2,76,weekly,1,no,1,less aggressive,4,2.25,male,40,1,employed,OR,68
806,Reduced Enforcement,76,20,1,98,1,200,4,yes,2,75,rarely,1,no,1,about same,5,4,male,62,0,unemployed,Pennsylvania,69
548,Increased Enforcement,76,56,4,34,3,145,3,yes,2,75,monthly,3,yes,4,about same,5,3.5,female,31,1,employed,Texas,70
177,Increased Enforcement,76,60,4,90,2,100,1,yes,4,75,weekly,1,yes,1,about same,5,1.25,female,37,1,employed,MISSISSIPPI,71
373,Reduced Enforcement,76,76,1,76,1,55,1,yes,5,76,daily,4,yes,5,more aggressive,6,4.5,male,31,0,employed,NEW YORK,72
409,Increased Enforcement,76,76,2,70,1,100,4,yes,2,80,weekly,3,yes,1,less aggressive,4,3.75,male,58,1,employed,North Carolina,73
445,Reduced Enforcement,76,70,2,85,3,2,3,yes,2,60,weekly,3,yes,3,more aggressive,4,4.5,male,32,0,employed,New York,74
1113,Reduced Enforcement,76,40,3,80,2,25,1,yes,2,68,rarely,1,no,1,about same,1,3,male,33,1,unemployed,North Carolina,75
451,Reduced Enforcement,76,20,1,0,4,90,2,yes,1,0,weekly,1,no,1,less aggressive,6,1.75,male,25,0,employed,California,76
295,Reduced Enforcement,76,65,3,75,3,150,4,yes,2,95,monthly,2,yes,3,about same,1,3.75,male,32,1,employed,california,77
1044,Increased Enforcement,76,70,5,50,3,50,3,yes,2,75,weekly,1,no,2,less aggressive,1,2.75,male,27,0,employed,FL,78
10,Reduced Enforcement,76,50,3,30,2,40,3,yes,3,40,monthly,3,yes,4,about same,3,3,male,65,1,employed,AZ,79
689,Reduced Enforcement,76,50,3,60,2,100,2,yes,2,60,rarely,2,no,1,less aggressive,4,1.5,male,51,1,employed,Texas,80
232,Increased Enforcement,76,35,5,25,3,600,5,yes,2,75,rarely,1,no,1,less aggressive,4,2,female,53,1,unemployed,Kansas,81
802,Reduced Enforcement,76,10,3,20,4,75,1,yes,2,70,daily,1,yes,2,less aggressive,4,1,female,30,1,employed,Connecticut,82
518,Increased Enforcement,76,5,1,95,2,95,1,yes,2,3,monthly,1,no,1,less aggressive,1,1.25,male,59,1,unemployed,wyoming,83
3,Increased Enforcement,76,45,5,55,3,250,4,yes,2,70,weekly,1,no,1,about same,5,2.25,male,34,1,employed,new york,84
939,Increased Enforcement,76,85,2,60,1,110,3,yes,2,60,weekly,3,no,2,about same,4,4,female,50,1,employed,Louisiana,85
698,Reduced Enforcement,76,10,2,100,2,200,4,yes,5,84,weekly,2,no,1,more aggressive,1,2.25,female,19,1,unemployed,California,86
477,Reduced Enforcement,76,25,4,5,4,150,4,yes,2,74,weekly,1,no,1,more aggressive,5,1.25,female,35,1,unemployed,Utah,87
837,Reduced Enforcement,76,5,1,85,2,20,2,yes,3,75,weekly,1,no,1,about same,5,1.75,female,21,1,unemployed,Montana,88
137,Increased Enforcement,76,15,2,95,2,500,4,yes,4,75,rarely,1,no,1,about same,4,2.75,female,47,1,employed,WA,89
671,Increased Enforcement,76,4,4,90,2,50,2,yes,4,75,daily,1,no,2,about same,5,2.25,male,35,1,employed,TN,90
171,Increased Enforcement,76,10,2,50,2,50,2,yes,3,62,monthly,1,no,2,less aggressive,6,2.75,female,65,1,employed,North Carolina,91
961,Increased Enforcement,76,5,2,100,4,200,3,yes,4,80,weekly,1,yes,2,about same,1,3.25,male,35,0,employed,Pennsylvania,92
673,Reduced Enforcement,76,10,2,15,5,100,2,yes,2,75,weekly,1,no,2,less aggressive,1,2,female,50,1,employed,South Carolina,93
584,Increased Enforcement,76,90,4,60,1,900,4,yes,4,60,weekly,3,yes,4,about same,6,3.5,male,30,0,employed,AL,94
833,Reduced Enforcement,76,25,3,10,3,68,4,yes,2,75,monthly,1,no,1,less aggressive,1,2.25,male,54,1,employed,Virginia,95
1015,Increased Enforcement,76,1,3,80,2,100,2,yes,5,90,daily,3,no,1,about same,5,2.25,male,35,1,employed,Florida,96
667,Increased Enforcement,76,95,3,80,3,500,5,yes,1,80,rarely,1,no,4,more aggressive,1,3,female,35,0,employed,North Carolina,97
25,Increased Enforcement,76,50,3,100,2,100,5,yes,4,75,rarely,1,no,2,about same,5,5,male,40,1,unemployed,Texas,98
498,Reduced Enforcement,76,85,2,90,2,100,4,yes,2,65,daily,4,yes,4,more aggressive,1,4,female,33,0,employed,OH,99
504,Increased Enforcement,76,70,3,65,3,40,4,yes,2,70,weekly,2,yes,4,about same,4,3,male,33,1,,ca,100
280,Increased Enforcement,76,75,3,75,4,60,2,yes,4,75,monthly,1,no,1,less aggressive,5,2,female,33,1,employed,KANSAS,101
968,Reduced Enforcement,76,15,2,50,2,200,3,yes,5,78,monthly,1,yes,2,about same,5,1.75,female,46,0,employed,Texas,102
758,Increased Enforcement,76,2,3,95,2,100,2,yes,4,77,monthly,1,yes,2,about same,4,1.75,female,33,1,employed,Virginia,103
1143,Reduced Enforcement,76,40,3,20,4,0,2,yes,1,55,rarely,1,no,1,less aggressive,4,1,female,30,0,employed,Ohio,104
358,Reduced Enforcement,76,10,1,75,2,50,1,yes,4,75,monthly,1,no,1,more aggressive,1,1,female,69,1,unemployed,Georgia,105
121,Increased Enforcement,76,5,2,95,1,50,2,yes,3,78,weekly,1,yes,2,about same,4,3.75,male,34,1,employed,California,106
336,Reduced Enforcement,76,15,3,90,2,100,3,yes,3,75,weekly,2,yes,1,about same,1,2,male,35,1,employed,North Carolina,107
929,Increased Enforcement,76,40,4,80,2,75,1,yes,3,75,monthly,1,no,1,less aggressive,5,1.25,female,49,0,employed,NEW JERSEY,108
1115,Reduced Enforcement,76,15,2,90,2,130,3,yes,3,75,daily,3,yes,2,about same,5,3.5,male,24,1,unemployed,MS,109
85,Reduced Enforcement,76,10,1,50,3,100,2,yes,2,75,monthly,1,no,1,less aggressive,5,1.5,male,60,1,employed,Wisconsin,110
411,Reduced Enforcement,76,15,2,95,2,100,1,yes,1, ,monthly,1,no,1,less aggressive,1,1,female,37,1,employed,Nevada,111
819,Increased Enforcement,76,67,4,80,3,120,1,yes,5,74,monthly,1,no,2,less aggressive,6,2.75,female,61,0,employed,Illinois,112
746,Reduced Enforcement,76,66,1,100,2,35,1,yes,5,78,rarely,1,yes,2,less aggressive,4,3,female,23,0,unemployed,Michigan,113
489,Reduced Enforcement,76,0,2,100,2,50,4,yes,3,80,weekly,1,yes,4,about same,5,2.5,female,27,1,employed,Pennsylvania,114
1072,Reduced Enforcement,76,20,3,25,3,100,3,yes,2,75,rarely,1,no,1,less aggressive,5,1.75,female,49,1,employed,Illinois,115
491,Increased Enforcement,76,5,2,90,2,75,3,yes,4,75,rarely,1,no,2,about same,5,4,male,38,1,unemployed,Washington,116
420,Reduced Enforcement,76,0,1,100,2,120,3,yes,4,76,monthly,1,no,1,about same,5,1.75,male,62,1,employed,Missouri,117
1121,Reduced Enforcement,76,2,3,85,2,100,3,yes,1,never speed,rarely,1,no,1,less aggressive,4,2,female,52,0,employed,Illinois,118
722,Increased Enforcement,76,40,3,90,1,120,2,yes,4,80,monthly,1,no,1,about same,5,1.5,female,48,1,employed,OHIO,119
270,Reduced Enforcement,76,15,3,5,2,50,1,yes,3,74,rarely,1,no,1,about same,1,1.5,female,31,1,unemployed,Idaho,120
831,Increased Enforcement,76,40,2,75,2,115,2,yes,2,72,rarely,2,no,1,about same,6,2,male,61,1,employed,Virginia,121
543,Increased Enforcement,76,40,1,90,1,10,3,yes,2,65,weekly,2,yes,2,about same,5,4,male,29,1,employed,North Carolina,122
185,Increased Enforcement,76,25,2,75,3,100,3,yes,2,80,weekly,1,yes,1,less aggressive,5,2.5,male,26,0,employed,pennsylvania,123
1190,Increased Enforcement,76,64,3,25,4,60,2,yes,2,75,daily,1,yes,1,less aggressive,5,2.25,female,27,1,employed,Michigan,124
844,Increased Enforcement,76,2,1,99,1,40,1,yes,5,82,weekly,2,yes,4,more aggressive,4,3.25,male,27,1,employed,Illinois,125
1154,Increased Enforcement,76,40,3,70,2,8,3,yes,2,50,rarely,5,yes,1,less aggressive,4,4,male,26,1,employed,California,126
619,Reduced Enforcement,76,5,2,95,3,100,2,yes,3,75,daily,1,no,1,less aggressive,4,1.5,female,41,1,employed,Virginia,127
1022,Reduced Enforcement,76,15,2,90,3,50,1,yes,5,80,monthly,1,no,1,more aggressive,1,1,male,68,1,unemployed,Delaware,128
803,Increased Enforcement,76,35,2,10,2,50,2,yes,2,72,weekly,1,no,1,about same,5,3.75,male,41,1,employed,Rhode Island,129
1102,Increased Enforcement,76,30,3,50,2,75,3,yes,4,75,monthly,1,no,1,less aggressive,5,2.25,female,33,1,employed,Georgia,130
38,Increased Enforcement,76,50,3,50,2,5,2,yes,2,75,weekly,1,yes,1,less aggressive,4,3,male,21,0,unemployed,Virginia,131
415,Increased Enforcement,76,80,2,80,3,146,3,yes,3,25,weekly,2,no,3,about same,4,4,male,25,0,employed,oklahoma,132
845,Reduced Enforcement,76,40,3,0,4,50,1,yes,1,0,monthly,1,no,1,less aggressive,4,2,female,36,1,employed,Texas,133
251,Reduced Enforcement,76,25,2,89,2,100,3,yes,4,75,daily,1,yes,2,more aggressive,1,3,female,24,0,unemployed,Mississippi,134
633,Increased Enforcement,76,75,2,0,4,70,2,yes,2,73,monthly,1,no,1,less aggressive,4,1,female,46,0,employed,Louisiana,135
872,Increased Enforcement,76,2,2,50,2,120,3,yes,2,70,monthly,1,no,1,about same,4,2.5,male,62,1,unemployed,oregon,136
1108,Reduced Enforcement,76,5,2,85,2,90,2,yes,4,77,weekly,1,no,1,about same,5,2.25,male,38,1,unemployed,Georgia,137
937,Reduced Enforcement,76,75,4,25,4,100,4,yes,3,75,monthly,2,yes,3,more aggressive,1,4,male,25,1,employed,Indiana,138
675,Increased Enforcement,76,5,2,30,3,80,1,yes,2,73,weekly,1,no,1,less aggressive,5,2.5,male,64,1,employed,Colorado,139
589,Increased Enforcement,76,2,3,90,2,75,1,yes,2,75,weekly,1,no,1,about same,5,2,female,36,1,employed,MI,140
343,Increased Enforcement,76,3,2,50,1,150,2,yes,2,75,monthly,1,no,2,less aggressive,4,1.5,male,31,1,unemployed,Minnesota,141
592,Reduced Enforcement,76,1,2,40,2,80,1,yes,2,74,weekly,1,no,1,less aggressive,5,1.5,female,43,1,unemployed,North Carolina,142
971,Reduced Enforcement,76,5,2,80,2,40,2,yes,2,80,monthly,1,no,1,less aggressive,1,2.5,male,25,1,employed,Massachusetts,143
33,Increased Enforcement,76,50,2,35,3,75,4,yes,2,5,weekly,4,yes,4,about same,4,4.5,female,33,0,employed,Utah,144
988,Reduced Enforcement,76,10,3,90,2,180,1,yes,2,75,weekly,1,yes,1,less aggressive,5,4.25,male,51,1,employed,New Jersey,145
1005,Increased Enforcement,76,0,3,50,2,100,3,yes,4,75,monthly,1,no,1,less aggressive,1,2.5,male,30,0,employed,Florida,146
147,Increased Enforcement,76,50,3,5,4,150,1,yes,1,71,weekly,1,no,1,less aggressive,5,2,male,70,1,unemployed,Florida,147
385,Reduced Enforcement,76,65,2,75,2,150,2,yes,4,80,monthly,1,no,1,about same,4,2,female,43,1,employed,Ohio,148
230,Reduced Enforcement,76,10,2,100,2,150,3,yes,4,79,weekly,1,no,1,more aggressive,4,3.75,male,49,1,employed,Oklahoma,149
1200,Increased Enforcement,76,60,5,10,2,120,1,yes,2,75,monthly,1,no,2,about same,5,1.25,male,50,1,employed,Illinois,150
630,Reduced Enforcement,76,2,3,90,2,75,3,yes,3,75,weekly,2,no,1,about same,5,1,male,55,1,employed,Mississippi,151
721,Reduced Enforcement,76,87,2,85,1,200,3,yes,2,50,daily,2,yes,5,more aggressive,5,4,male,30,0,employed,Michigan,152
783,Increased Enforcement,76,10,2,90,2,100,2,yes,2,72,monthly,1,no,1,less aggressive,4,1.25,female,38,1,employed,Oregon,153
856,Reduced Enforcement,76,10,2,100,2,100,2,yes,5,80,weekly,2,no,4,,1,3.25,female,23,1,employed,indiana,154
127,Increased Enforcement,76,76,2,70,1,20,2,yes,5,70,weekly,3,yes,5,about same,4,1.5,male,26,1,employed,Virginia,155
960,Increased Enforcement,76,10,1,100,1,50,2,yes,4,80,daily,2,no,1,more aggressive,5,2,female,31,1,employed,PA,156
108,Reduced Enforcement,76,70,2,10,2,10,3,yes,2,80,rarely,1,yes,,more aggressive,5,2,male,37,1,employed,nework,157
643,Reduced Enforcement,76,5,1,90,2,80,3,yes,2,70,rarely,1,no,1,about same,1,1,female,29,1,employed,texas,158
485,Reduced Enforcement,76,56,1,35,2,34,3,yes,2,34,weekly,4,yes,4,more aggressive,4,2.5,male,36,0,employed,usa,159
317,Reduced Enforcement,76,0,2,0,4,75,1,yes,1, ,daily,1,no,1,less aggressive,5,1.25,female,54,1,unemployed,New York,160
638,Increased Enforcement,76,40,4,65,2,50,1,yes,2,75,weekly,1,no,1,less aggressive,5,1.25,male,29,1,employed,massachusetts,161
769,Increased Enforcement,76,76,2,76,3,2,4,yes,2,75,monthly,3,yes,4,about same,6,3.5,male,39,0,employed,california,162
291,Reduced Enforcement,76,60,3,40,3,5000,2,yes,2,40,weekly,2,no,1,about same,1,3.25,female,26,1,employed,GA,163
840,Reduced Enforcement,76,10,1,80,1,15,2,yes,2,80,rarely,1,no,2,about same,1,2,male,28,0,employed,California,164
963,Increased Enforcement,76,70,2,80,2,100,3,yes,3,80MPH,weekly,3,yes,4,about same,5,4.5,female,46,1,employed,Texas,165
869,Reduced Enforcement,76,10,3,85,2,125,1,yes,3,75,monthly,1,no,1,about same,4,1.75,female,39,1,employed,Iowa,166
649,Increased Enforcement,76,10,2,40,2,120,5,yes,2,75,rarely,1,no,1,less aggressive,4,1.5,female,51,1,unemployed,Alabama,167
537,Increased Enforcement,76,40,2,20,3,200,2,yes,1, ,rarely,1,no,1,less aggressive,1,2,female,22,0,employed,tx,168
338,Reduced Enforcement,76,40,4,40,3,200,2,yes,3,74,rarely,1,no,1,less aggressive,4,1.25,female,62,0,unemployed,California,169
1045,Increased Enforcement,76,89,2,80,2,50,3,yes,2,80,weekly,3,yes,4,more aggressive,4,4.25,male,30,0,employed,NewYork,170
151,Reduced Enforcement,76,10,2,80,2,25,2,yes,4,80,monthly,1,no,2,more aggressive,4,2.75,male,19,1,unemployed,South Carolina,171
324,Reduced Enforcement,76,0,1,5,3,1200,3,yes,1,65,monthly,1,no,1,about same,1,1.5,male,35,0,employed,NY,172
528,Increased Enforcement,76,10,1,20,2,500,5,yes,4,80,daily,1,yes,1,less aggressive,6,3,female,44,1,employed,Ohio,173
664,Increased Enforcement,76,5,1,90,1,50,2,yes,3,75,weekly,1,no,2,about same,4,2,male,27,1,employed,New York,174
770,Reduced Enforcement,76,20,3,20,2,50,2,yes,2,75,rarely,1,no,1,less aggressive,1,4,female,32,1,employed,PA,175
668,Reduced Enforcement,76,50,2,50,2,100,1,yes,2,80,monthly,1,yes,2,less aggressive,5,1.5,male,35,0,employed,virginia,176
475,Reduced Enforcement,76,50,1,25,4,100,5,yes,1, ,daily,1,no,1,about same,1,4.25,male,36,1,employed,ohio,177
1038,Increased Enforcement,76,10,2,85,2,65,3,yes,3,75,daily,2,yes,4,more aggressive,1,3.25,male,21,1,employed,Arkansas,178
687,Reduced Enforcement,76,0,1,50,2,60,2,yes,3,75,monthly,1,no,1,about same,5,1,female,63,1,unemployed,Massachusetts,179
646,Reduced Enforcement,76,25,3,10,3,50,2,yes,4,74,rarely,1,no,1,about same,5,2.25,male,35,1,unemployed,Florida,180
254,Increased Enforcement,76,20,3,0,5,200,5,yes,1, ,rarely,1,no,1,less aggressive,4,2.75,female,33,1,employed,Minnesota,181
974,Increased Enforcement,76,10,3,90,2,150,3,yes,2,72,rarely,1,no,2,less aggressive,4,2.5,female,40,1,unemployed,Virginia,182
532,Reduced Enforcement,76,35,3,20,4,100,2,yes,2,75,monthly,2,no,1,less aggressive,4,1,female,24,1,employed,Michigan,183
547,Increased Enforcement,76,5,4,100,3,125,1,yes,4,80,monthly,2,yes,1,more aggressive,3,2.75,male,21,0,unemployed,Pennsylvania,184
635,Reduced Enforcement,76,60,3,50,2,20,5,yes,2,100,weekly,3,yes,2,about same,4,3,female,50,0,employed,newyork,185
510,Increased Enforcement,76,90,5,80,1,90,2,yes,4,70,daily,2,yes,4,about same,3,4.5,male,30,0,employed,AL,186
412,Reduced Enforcement,76,,,80,2,129,3,yes,2,75,weekly,3,no,1,less aggressive,5,3.75,male,30,1,employed,ILLINOIS,187
86,Reduced Enforcement,76,20,1,65,2,250,3,yes,2,70,monthly,1,no,1,less aggressive,1,2,female,36,1,employed,new york,188
1191,Reduced Enforcement,76,65,3,45,3,97,3,yes,2,50,monthly,2,yes,2,about same,1,1.75,female,30,0,employed,texas,189
987,Increased Enforcement,76,70,2,76,2,1,1,yes,2,70,weekly,3,yes,5,more aggressive,1,1.5,male,60,0,employed,CA,190
12,Reduced Enforcement,76,15,5,95,1,50,2,yes,4,75,monthly,1,no,2,about same,4,1.75,female,29,1,employed,wisconsin,191
481,Increased Enforcement,76,1,1,0,1,10,4,yes,3,67,weekly,3,no,4,more aggressive,5,2,female,35,1,employed,California,192
482,Increased Enforcement,76,0,1,100,2,100,2,yes,2,80,weekly,3,no,2,about same,5,3.25,female,21,0,employed,Georgia,193
24,Increased Enforcement,76,1,1,99,2,100,3,yes,4,75,monthly,1,no,1,less aggressive,1,1,female,42,1,employed,Colorado,194
200,Reduced Enforcement,76,70,2,60,2,1000,4,yes,2,80,weekly,3,yes,4,less aggressive,1,1.75,male,38,0,employed,washington,195
720,Reduced Enforcement,76,35,2,70,2,1000,5,yes,2,75,monthly,1,no,1,less aggressive,5,1.5,male,26,1,employed,North Carolina,196
406,Reduced Enforcement,76,76,1,65,1,65,4,yes,4,83,monthly,4,yes,4,more aggressive,6,4.75,male,40,1,employed,florida,197
597,Reduced Enforcement,76,80,2,85,2,200,3,yes,2,70,daily,3,yes,4,more aggressive,4,4,female,37,0,employed,LA,198
271,Reduced Enforcement,76,1,1,100,2,150,2,yes,4,75,weekly,2,no,2,less aggressive,5,1.75,male,59,1,employed,Illinois,199
764,Increased Enforcement,76,85,1,85,1,300,1,yes,4,76,weekly,3,yes,5,more aggressive,1,1.25,male,40,0,employed,Pennsylvania,200
